Puesto,Url,Título,Autor,Materias,Editorial,Traductor,Colección,Encuadernación,País de publicación ,Idioma de publicación ,Idioma original ,ISBN,EAN,Dimensiones,Peso,Nº páginas,Fecha publicación ,Ilustrador
81,https://www.todostuslibros.com/libros/my-hero-academia-no-03_978-84-16816-61-3,My Hero Academia nº 03,"Horikoshi, Kohei",Novelas gráficas: manga,Planeta Cómic,"Koike, Ayako",Manga, Tapa blanda o Bolsillo,España,Español,Japonés, 978-84-16816-61-3,9788416816613, 177 x 111 mm.,208 gramos,192,21-02-2017,
41,https://www.todostuslibros.com/libros/la-cancion-de-aquiles-adn_978-84-1362-213-2,La canción de Aquiles (AdN),"Miller, Madeline",MITOS Y LEYENDAS NARRADOS COMO FICCIÓN,Alianza Editorial,"Pallarés Sanmiguel, José Miguel",ALIANZA DE NOVELAS, Cartoné,España,Español,Inglés, 978-84-1362-213-2,9788413622132, 235 x 165 mm.,676 gramos,392,04-03-2021,
61,https://www.todostuslibros.com/libros/isadora-moon-y-el-hada-de-los-dientes-isadora-moon-10_978-84-204-5371-2,Isadora Moon y el hada de los dientes (Isadora Moon 10),"Muncaster, Harriet",Relatos sobre la familia y el hogar (infantil/juvenil),ALFAGUARA,Vanesa Pérez-Sauquillo Muñoz;,Isadora Moon, Tapa blanda o Bolsillo,España,Español,Inglés, 978-84-204-5371-2,9788420453712, 201 x 140 mm.,,128,04-02-2021,
91,https://www.todostuslibros.com/libros/el-lunes-nos-querran_978-84-233-5877-9,El lunes nos querrán,"El Hachmi, Najat",Ficción moderna y contemporanea,Ediciones Destino,,Áncora & Delfín, Cartoné,España,Español,Español, 978-84-233-5877-9,9788423358779, 230 x 133 mm.,536 gramos,304,10-02-2021,
71,https://www.todostuslibros.com/libros/boulevard_978-980-7909-06-8,Boulevard,"Mojarraz Salvador, Flor Guadal",Ficción de crimen y misterio (infantil/juvenil),Editorial Naranja,,AUTOR, No definida.,España,Español,Español, 978-980-7909-06-8,9789807909068,,,316,01-05-2020,
62,https://www.todostuslibros.com/libros/los-compas-escapan-de-la-prision-nueva-presentacion_978-84-270-4795-2,Los Compas escapan de la prisión (nueva presentación),"Mikecrack, El Trollino y Timba Vk",Edad de interés: a partir de 10 años,Ediciones Martínez Roca,,4You2, Cartoné,España,Español,Español, 978-84-270-4795-2,9788427047952, 230 x 150 mm.,400 gramos,224,29-10-2020,
42,https://www.todostuslibros.com/libros/biografia-de-la-luz_978-84-18526-13-8,Biografía de la luz,"d'Ors, Pablo",Ficción moderna y contemporanea,Galaxia Gutenberg,,Narrativa, Cartoné,España,Español,Español, 978-84-18526-13-8,9788418526138, 220 x 145 mm.,590 gramos,576,10-02-2021,
82,https://www.todostuslibros.com/libros/harry-potter-y-la-piedra-filosofal-ed-minalima-harry-potter-1_978-84-18174-07-0,Harry Potter y la piedra filosofal (Ed. Minalima) (Harry Potter 1),"Rowling, J.K.",Ficción clásica (infantil/juvenil),Salamandra Infantil y Juvenil,,Harry Potter, Cartoné,España,Español,Inglés, 978-84-18174-07-0,9788418174070, 235 x 159 mm.,,368,12-11-2020,
72,https://www.todostuslibros.com/libros/1793_978-84-9838-985-2,1793,"Natt Och Dag, Niklas",c. 1700-c. 1800,SALAMANDRA,,Narrativa, Tapa blanda o Bolsillo,España,Español,Sueco, 978-84-9838-985-2,9788498389852, 230 x 153 mm.,644 gramos,432,16-01-2020,
63,https://www.todostuslibros.com/libros/resetea-tu-mente-descubre-de-lo-que-eres-capaz_978-84-670-6204-5,Resetea tu mente. Descubre de lo que eres capaz,"Puig, Mario Alonso",Autoayuda y desarrollo personal,Espasa,,F. COLECCION, Cartoné,España,Español,Español, 978-84-670-6204-5,9788467062045, 230 x 150 mm.,392 gramos,224,24-03-2021,
43,https://www.todostuslibros.com/libros/los-compas-y-la-camara-del-tiempo_978-84-270-4737-2,Los Compas y la cámara del tiempo,"Mikecrack, El Trollino y Timba Vk",Edad de interés: a partir de 8 años,Ediciones Martínez Roca,,4You2, Cartoné,España,Español,Español, 978-84-270-4737-2,9788427047372, 230 x 150 mm.,398 gramos,224,09-06-2020,
92,https://www.todostuslibros.com/libros/feria_978-84-122267-2-0,Feria,"Simón, Ana Iris",EUROPA,Círculo de Tiza,,CIRCULO DE TIZA, Tapa blanda o Bolsillo,España,Español,Español, 978-84-122267-2-0,9788412226720, 215 x 135 mm.,150 gramos,240,29-09-2020,
83,https://www.todostuslibros.com/libros/la-hora-de-las-gaviotas_978-84-01-02565-5,La hora de las gaviotas,"Martín, Ibon",Género policíaco y misterio,PLAZA & JANES,,EXITOS, Tapa blanda o Bolsillo,España,Español,Español, 978-84-01-02565-5,9788401025655, 231 x 153 mm.,,464,14-01-2021,
